index,Region_Code,Cost_Call,Total_Charge,Total_Minutes,Total_Calls,Min_Call
0,3,4.01,75.56,717.2,303,2.37
1,3,5.6,59.24,625.2,332,1.88
2,4,5.35,62.29,539.4,333,1.62
3,3,3.82,66.8,564.8,255,2.21
4,6,6.89,52.09,512.0,359,1.43
5,5,4.78,67.61,654.2,323,2.03
6,4,4.1,78.31,786.8,321,2.45
7,3,5.86,46.9,479.0,275,1.74
8,5,3.7,73.32,760.6,271,2.81
9,5,3.69,80.54,818.2,297,2.75
10,3,6.22,54.2,579.1,337,1.72
11,4,6.55,57.08,556.2,374,1.49
12,3,7.39,40.19,386.0,297,1.3
13,2,4.75,59.64,608.8,283,2.15
14,3,4.23,59.31,644.0,251,2.57
15,4,3.26,92.29,816.7,301,2.71
16,2,4.74,65.02,580.4,308,1.88
17,4,5.92,58.99,546.6,349,1.57
18,5,4.03,60.5,578.2,244,2.37
19,6,3.97,63.9,589.7,254,2.32
20,5,5.88,59.0,614.2,347,1.77
21,2,7.77,36.02,447.6,280,1.6
22,6,6.41,48.06,447.2,308,1.45
23,5,7.7,41.05,445.0,316,1.41
24,5,5.72,48.08,573.6,275,2.09
25,3,5.12,60.15,667.6,308,2.17
26,2,5.46,63.24,596.3,345,1.73
27,2,5.49,44.61,406.6,245,1.66
28,3,4.69,64.12,636.0,301,2.11
29,7,6.39,49.6,524.2,317,1.65
30,3,7.58,41.14,486.2,312,1.56
31,4,4.54,69.43,684.1,315,2.17
32,5,5.86,55.29,549.1,324,1.69
33,6,4.14,79.68,794.0,330,2.41
34,6,4.94,58.49,593.6,289,2.05
35,5,3.88,66.72,604.8,259,2.34
36,7,6.67,48.42,452.6,323,1.4
37,4,5.41,54.2,592.3,293,2.02
38,7,5.48,58.03,503.7,318,1.58
39,4,5.18,58.44,611.6,303,2.02
40,5,6.95,46.64,490.3,324,1.51
41,5,5.07,56.2,513.8,285,1.8
42,5,4.23,61.93,728.5,262,2.78
43,2,7.23,39.15,438.8,283,1.55
44,3,4.7,58.26,648.6,274,2.37
45,1,6.42,48.3,505.5,310,1.63
46,3,6.15,59.36,521.8,365,1.43
47,5,6.04,56.13,571.2,339,1.68
48,2,5.85,55.53,542.4,325,1.67
49,2,5.82,47.25,432.0,275,1.57
50,3,4.33,68.32,706.3,296,2.39
51,3,4.44,68.49,687.5,304,2.26
52,5,3.79,63.62,670.5,241,2.78
53,2,4.09,62.76,665.5,257,2.59
54,2,5.86,56.14,584.3,329,1.78
55,3,3.84,65.94,705.2,253,2.79
56,2,6.39,45.37,455.7,290,1.57
57,2,5.74,49.85,460.7,286,1.61
58,3,6.14,55.36,537.2,340,1.58
59,6,5.04,65.82,608.0,332,1.83
60,2,4.32,57.68,540.0,249,2.17
61,1,4.68,71.42,624.7,334,1.87
62,3,4.41,64.0,592.4,282,2.1
63,3,3.42,62.03,646.6,212,3.05
64,5,6.75,45.51,461.3,307,1.5
65,1,5.29,50.89,537.9,269,2.0
66,2,3.97,70.46,631.4,280,2.26
67,3,7.66,46.88,469.2,359,1.31
68,2,3.33,63.43,589.8,211,2.8
69,6,5.69,55.2,510.4,314,1.63
70,4,3.98,72.08,719.4,287,2.51
71,3,3.54,68.96,679.8,244,2.79
72,6,4.33,64.84,578.0,281,2.06
73,2,5.93,62.68,589.8,372,1.59
74,7,4.68,65.16,593.2,305,1.94
75,3,4.95,55.5,567.9,275,2.07
76,7,3.5,81.75,763.1,286,2.67
77,4,11.4,27.02,319.9,308,1.04
78,3,4.82,60.57,564.2,292,1.93
79,5,4.92,56.46,569.0,278,2.05
80,5,3.99,73.63,741.8,294,2.52
81,1,4.25,69.96,711.3,297,2.39
82,2,6.13,50.6,488.4,310,1.58
83,5,3.51,77.16,741.7,271,2.74
84,6,3.92,68.94,663.6,270,2.46
85,4,4.13,66.54,736.8,275,2.68
86,3,5.82,50.71,510.5,295,1.73
87,5,4.48,65.6,617.2,294,2.1
88,5,5.21,48.72,490.5,254,1.93
89,4,3.89,74.64,708.3,290,2.44
90,7,5.35,48.96,459.5,262,1.75
91,5,5.27,62.03,599.2,327,1.83
92,5,5.63,49.36,558.4,278,2.01
93,4,4.37,72.6,704.7,317,2.22
94,6,4.52,55.26,508.0,250,2.03
95,7,5.62,64.21,532.4,361,1.47
96,2,4.55,56.69,560.5,258,2.17
97,6,4.48,62.25,605.1,279,2.17
98,5,5.35,62.81,594.0,336,1.77
99,2,4.17,75.32,742.5,314,2.36
100,3,5.19,57.24,578.0,297,1.95
101,4,5.7,56.13,511.0,320,1.6
102,4,6.25,46.85,461.2,293,1.57
103,5,5.96,52.98,576.4,316,1.82
104,3,4.83,57.99,604.1,280,2.16
105,6,4.14,68.13,627.1,282,2.22
106,3,3.91,75.88,679.8,297,2.29
107,6,7.22,46.43,509.2,335,1.52
108,2,6.76,49.0,509.2,331,1.54
109,2,5.01,65.09,628.7,326,1.93
110,3,4.42,62.61,609.7,277,2.2
111,4,4.76,63.86,643.7,304,2.12
112,5,6.07,57.12,591.7,347,1.71
113,5,5.93,53.79,593.8,319,1.86
114,6,7.54,36.48,449.3,275,1.63
115,4,5.14,66.75,610.0,343,1.78
116,4,6.74,47.01,386.6,317,1.22
117,2,3.65,76.91,681.8,281,2.43
118,3,7.37,43.41,458.8,320,1.43
119,2,4.75,67.83,606.6,322,1.88
120,3,4.32,67.59,650.7,292,2.23
121,6,5.53,56.74,505.0,314,1.61
122,5,5.4,60.61,604.8,327,1.85
123,5,6.41,48.51,427.7,311,1.38
124,2,7.02,48.29,501.0,339,1.48
125,6,3.88,68.34,695.3,265,2.62
126,5,8.04,34.84,392.1,280,1.4
127,5,6.44,56.23,566.2,362,1.56
128,6,7.14,42.41,469.6,303,1.55
129,3,5.23,64.63,650.1,338,1.92
130,3,6.27,52.79,521.0,331,1.57
131,1,5.39,54.92,587.3,296,1.98
132,4,5.17,73.18,732.3,378,1.94
133,6,4.15,62.34,614.7,259,2.37
134,5,5.24,62.46,615.1,327,1.88
135,5,6.44,50.95,561.6,328,1.71
136,4,5.64,60.5,636.1,341,1.87
137,5,5.45,64.43,620.8,351,1.77
138,7,4.79,56.79,584.5,272,2.15
139,2,3.9,57.66,525.8,225,2.34
140,5,5.16,60.8,630.9,314,2.01
141,5,4.25,67.04,685.0,285,2.4
142,3,5.79,56.14,504.6,325,1.55
143,4,3.27,70.71,654.2,231,2.83
144,4,5.33,58.53,608.1,312,1.95
145,3,4.83,61.86,516.7,299,1.73
